archivo,tamano_bytes,modificado,titulo,modulos,clasificacion,motivo
controlplan-dashboard.html,1931,2025-08-09 22:33:27,Dashboard · ZDU CONTROL PLAN,"auditoria_md, crawler, infra_web, kpi_dashboard, seguridad",Mantener,Contiene indicadores KPI/dashboard.
zdu_quality_console_FINAL.html,1769,2025-08-09 22:33:27,ZDU Quality Console · Auditoría & Crawler,"auditoria_md, crawler",Mantener,Marcado como FINAL/DARK en nombre.
zdu_quality_console_FINAL_AUTO.html,1883,2025-08-09 22:33:27,ZDU Quality Console · Auditoría & Crawler,"auditoria_md, crawler",Mantener,Marcado como FINAL/DARK en nombre.
zdu_quality_console_FINAL_DARK.html,3393,2025-08-09 22:33:27,ZDU Quality Console · Auditoría & Crawler,"auditoria_md, crawler",Mantener,Marcado como FINAL/DARK en nombre.
zdu_quality_console_FULL.html,3952,2025-08-09 22:33:27,ZDU Quality Console + Crawler Report,"auditoria_md, crawler, infra_web, kpi_dashboard, seguridad",Mantener,Contiene indicadores KPI/dashboard.
zdu_quality_console_UPDATED.html,2348,2025-08-09 22:33:27,ZDU Quality Console,"auditoria_md, crawler, infra_web, kpi_dashboard, seguridad",Mantener,Contiene indicadores KPI/dashboard.
zdu_sigma_core_activation.html,2667,2025-08-09 22:33:27,ZDU-SIGMA-CORE · Activación Oficial,"kpi_dashboard, seguridad",Mantener,Contiene indicadores KPI/dashboard.
crawler_audit_viewer.html,2129,2025-08-09 22:33:27,ZDU · Crawler Audit Viewer,"crawler, infra_web",Reciclar,"Módulos detectados: crawler, infra_web"
json_audit_summary.html,17126,2025-08-09 22:33:27,Resumen Auditoría JSON,"auditoria_md, campanias, crawler, seguridad",Reciclar,"Módulos detectados: auditoria_md, campanias, crawler, seguridad"
md_audit_summary.html,53631,2025-08-09 22:33:27,Resumen Auditoría Markdown,"auditoria_md, campanias, crawler, seguridad",Reciclar,"Módulos detectados: auditoria_md, campanias, crawler, seguridad"
quality_console_icrawler.html,777,2025-08-09 22:33:27,,"auditoria_md, crawler, seguridad",Reciclar,"Módulos detectados: auditoria_md, crawler, seguridad"
zdu_quality_console.html,1401,2025-08-09 22:33:27,ZDU Quality Console · Auditoría MD,"auditoria_md, infra_web",Reciclar,"Módulos detectados: auditoria_md, infra_web"
zdu_quality_console_UPDATED_FOR_MD.html,1396,2025-08-09 22:33:27,ZDU Quality Console · Auditoría MD,"auditoria_md, infra_web",Reciclar,"Módulos detectados: auditoria_md, infra_web"
