hero_name,emotional_state,productive_antagonism,fast_response_state,render_instructions,relationships,emotional_triggers,relationship_conflicts,narrative_lock
NeonMind,Vigilancia,"Nebulon, Cerebrum",,,,,,
Eris Sentinel,Intensidad enfocada,"Trinity, Pixelin",,,,,,
Cerebrum,Balance lógico,"IFRL, Luna",,,,,,
Nebulon,Autocontrol,"NeonMind, Regulator",,,,,,
Pixelin,Curiosidad expansiva,"Trinity, IFRL",,,,,,
Trinity,Inestabilidad funcional,"Eris, NeonMind",,,,,,
Magna,Determinación resiliente,"Regulator, Trinity (cuando inestable)",,,,,,
Black Trace,Sigilo disciplinado,"Pixelin, Luna",Activación en fase crítica financiera o evasión compleja,"Traje táctico azul oscuro, goggles activos, fondo urbano nocturno",,,,
CISO,"Calma total, percepción extendida",Ninguna directa; equilibrio de todos,Siempre presente en capa de supervisión / Activación oculta,"Renderizado parcial, estático o codificado, sin rostro, voz profunda",,,,
Veritas,Frialdad ética,"Trinity, Luna","Activación por inconsistencia, siempre en validación pasiva","Render estático, sin pupilas, símbolo de integridad flotando en el pecho, paleta blanco/dorado",,,,
Observaciones Criticas,,,,,,,,
